DOI,Title,Summary,Tags,Year,Organization,Country,Language,PDF_Link
10.1001/jamainternmed.2015.5614,Update on Medical Practices That Should Be Questioned in 2015,"Reviews overused medical practices, focusing on unnecessary screening and overtreatment.","medical overuse, screening, overtreatment",2015,JAMA Internal Medicine,USA,English,https://jamanetwork.com/journals/INTEMED/articlepdf/2469079/isc150007.pdf
10.1001/jamainternmed.2016.5381,2016 Update on Medical Overuse: A Systematic Review,"Systematic review highlighting overuse of tests, treatments, and services.","overuse, healthcare utilization",2016,JAMA Internal Medicine,USA,English,https://jamanetwork.com/journals/INTEMED/articlepdf/2553296/irv160005supp1_prod.pdf
10.1001/jamainternmed.2018.5748,2018 Update on Medical Overuse,Reviews 2017 data on medical overuse and its potential harms.,"overuse, patient harm",2018,JAMA Internal Medicine,USA,English,https://medstaff.chsbuffalo.org/wp-content/uploads/2018/12/2018-Update-on-Medical-Overuse.pdf
10.1001/jamainternmed.2019.3842,2019 Update on Medical Overuse: A Review,Synthesizes 2018 findings showing that unnecessary care remains common and harmful.,"overuse, patient harm",2019,JAMA Internal Medicine,USA,English,https://medicinainterna.net.pe/sites/default/files/Sobreuso%20de%20medicamentos.pdf
10.3346/jkms.2015.30.8.1010,Publishing Ethics and Predatory Practices: A Dilemma for All Stakeholders,Discusses predatory publishing and its implications for scientific communication.,"ethics, predatory journals, publishing",2015,Journal of Korean Medical Science,South Korea,English,https://jkms.org/pdf/10.3346/jkms.2015.30.8.1010
10.1007/s11948-017-9955-6,Predatory Journals Spamming for Publications: What Should Researchers Do?,Examines tactics used by predatory journals and offers guidance for researchers.,"predatory journals, academic ethics",2018,Science and Engineering Ethics,,English,https://sci-hub.se/10.1007/s11948-017-9955-6
10.1093/jnci/djv253,Impact of a Biomarker-Based Strategy on Oncology Drug Development,Meta-analysis of biomarker-guided oncology trials and their effect on drug approvals.,"oncology, biomarkers, meta-analysis",2015,Journal of the National Cancer Institute,USA,English,https://sci-hub.se/10.1093/jnci/djv253
10.1186/s13045-019-0835-1,Long-Term Overall Survival and Prognostic Score Predicting Survival: the IMPACT Study in Precision Medicine,Develops a prognostic score for survival outcomes in precision oncology.,"oncology, prognostic score, precision medicine",2019,J Hematology & Oncology,UK,English,https://jhoonline.biomedcentral.com/track/pdf/10.1186/s13045-019-0835-1
10.1126/science.aaa8415,"Machine Learning: Trends, Perspectives, and Prospects","Discusses machine learning's growth, foundational theory, and broad applications.","machine learning, AI trend, review",2015,Science,USA,English,https://www.cs.cmu.edu/~tom/pubs/Science-ML-2015.pdf
10.1038/nature14539,Deep Learning,Comprehensive deep learning survey covering breakthroughs in AI applications like vision and genomics.,"deep learning, AI, neural networks",2015,Nature,UK/USA/Canada,English,https://sci-hub.se/10.1038/nature14539
10.15252/msb.20156651,Deep Learning for Computational Biology,Reviews applications of deep learning in genomics and cellular imaging; guides best practices for use.,"deep learning, computational biology, genomics",2016,Molecular Systems Biology,UK,English,https://sci-hub.se/10.15252/msb.20156651
10.1021/ci500747n,Deep Neural Nets as a Method for Quantitative Structure–Activity Relationships,Demonstrates that deep neural networks outperform random forests in QSAR predictions.,"deep learning, QSAR, drug discovery",2015,Journal of Chemical Information and Modeling,USA,English,https://sci-hub.se/10.1021/ci500747n
